Transect,Recorder,Year,Date,Time,Distance,Site,Lat,Long,Depth,Species,Cover,Substrate
M7,Mitomi,2020,2020/6/1,11:18,80,M7-13,35.164635,139.144702,11.1,Ecklonia,0,Rock
M7,Mitomi,2020,2020/6/1,11:22,100,M7-14,35.164514,139.14454,10.9,Ecklonia,0,Rock
M7,Mitomi,2020,2020/6/1,11:26,120,M7-15,35.164394,139.144377,10.6,Ecklonia,0,Rock
M7,Mitomi,2020,2020/6/1,11:30,140,M7-16,35.164273,139.144215,10.5,Ecklonia,0,Rock
M7,Mitomi,2020,2020/6/1,11:35,160,M7-17,35.164153,139.144052,9.5,Ecklonia,1,Rock
M7,Mitomi,2020,2020/6/1,11:38,180,M7-18,35.164033,139.14389,9.8,Ecklonia,0,Sand
M7,Mitomi,2020,2020/6/1,11:42,200,M7-19,35.163912,139.143727,9.2,Ecklonia,0,Rock
M4,Mitomi,2019,2019/7/25,14:54,0,M4-09,35.165659,139.144784,5.8,Sargassum,0,Boulder
M4,Mitomi,2019,2019/7/25,14:58,20,M4-10,35.165538,139.144622,6,Sargassum,0,Boulder
M4,Mitomi,2019,2019/7/25,15:02,40,M4-11,35.165418,139.144459,6,Sargassum,0,Boulder
M4,Mitomi,2019,2019/7/25,15:06,60,M4-12,35.165297,139.144297,5.5,Sargassum,0,Rock
M4,Mitomi,2019,2019/7/25,15:09,80,M4-13,35.165177,139.144134,5.5,Sargassum,0,Boulder
M4,Mitomi,2019,2019/7/25,15:12,100,M4-14,35.165056,139.143972,5.2,Sargassum,0,Boulder
M4,Mitomi,2019,2019/7/25,15:15,120,M4-15,35.164936,139.143809,6,Sargassum,0,Boulder
M4,Mitomi,2019,2019/7/25,15:18,140,M4-16,35.164816,139.143646,6.3,Sargassum,0,Boulder
M4,Mitomi,2019,2019/7/25,15:20,160,M4-17,35.164695,139.143484,7,Sargassum,0,Boulder
M4,Mitomi,2019,2019/7/25,15:23,180,M4-18,35.164575,139.143322,6.5,Sargassum,0,Boulder
M4,Mitomi,2019,2019/7/25,15:26,200,M4-19,35.164454,139.143159,5.5,Sargassum,0,Bedrock
M7,Sato,2019,2019/7/25,13:26,0,M7-11,35.164876,139.145027,12.5,Sargassum,0,Rock
M7,Sato,2019,2019/7/25,13:28,20,M7-11a,35.16477,139.144891,12.9,Sargassum,5,Sand
M7,Sato,2019,2019/7/25,13:30,40,M7-11b,35.164674,139.144772,12.1,Sargassum,0,Sand
M7,Sato,2019,2019/7/25,13:33,60,M7-11c,35.164577,139.144636,10.6,Sargassum,10,Boulder
M7,Sato,2019,2019/7/25,13:36,80,M7-11d,35.164487,139.144508,11.1,Sargassum,0,Rock
M7,Sato,2019,2019/7/25,13:38,100,M7-11e,35.164394,139.144377,10.9,Sargassum,0,Rock
M7,Sato,2019,2019/7/25,13:41,120,M7-11f,35.164299,139.144246,10.6,Sargassum,0,Rock
M7,Sato,2019,2019/7/25,13:43,140,M7-11g,35.164197,139.144124,10.5,Sargassum,0,Sand
M7,Sato,2019,2019/7/25,13:46,160,M7-11ｈ,35.164104,139.143985,9.5,Sargassum,0,Rock
M7,Sato,2019,2019/7/25,13:48,180,M7-11i,35.164008,139.14386,9.8,Sargassum,0,Sand
M7,Sato,2019,2019/7/25,13:51,200,M7-19,35.163912,139.143727,9.2,Sargassum,0,Sand
M4,Mitomi,2020,2020/6/1,13:11,0,M4-09,35.165659,139.144784,6.6,Sargassum,0,Rock
M4,Mitomi,2020,2020/6/1,13:18,20,M4-10,35.165538,139.144622,6.8,Sargassum,0,Rock
M4,Mitomi,2020,2020/6/1,13:24,40,M4-11,35.165418,139.144459,7.1,Sargassum,0,Boulder
M4,Mitomi,2020,2020/6/1,13:30,60,M4-12,35.165297,139.144297,5.9,Sargassum,0,Boulder
M4,Mitomi,2020,2020/6/1,13:34,80,M4-13,35.165177,139.144134,3.1,Sargassum,0,Boulder
M4,Mitomi,2020,2020/6/1,13:39,100,M4-14,35.165056,139.143972,6.9,Sargassum,0,Boulder
M4,Mitomi,2020,2020/6/1,13:43,120,M4-15,35.164936,139.143809,7.3,Sargassum,0,Boulder
M4,Mitomi,2020,2020/6/1,13:47,140,M4-16,35.164816,139.143646,7.9,Sargassum,0,Boulder
M4,Mitomi,2020,2020/6/1,13:51,160,M4-17,35.164695,139.143484,7.5,Sargassum,0,Rock
M4,Mitomi,2020,2020/6/1,13:55,180,M4-18,35.164575,139.143322,6.7,Sargassum,0,Rock
M4,Mitomi,2020,2020/6/1,14:00,200,M4-19,35.164454,139.143159,6.2,Sargassum,0,Rock
M7,Mitomi,2020,2020/6/1,10:52,0,M7-09,35.165117,139.145352,12.5,Sargassum,0,Bedrock
M7,Mitomi,2020,2020/6/1,11:02,20,M7-10,35.164996,139.14519,12.9,Sargassum,0,Bedrock
M7,Mitomi,2020,2020/6/1,11:08,40,M7-11,35.164876,139.145027,12.1,Sargassum,0,Rock
M7,Mitomi,2020,2020/6/1,11:13,60,M7-12,35.164755,139.144865,10.6,Sargassum,0,Bedrock
M7,Mitomi,2020,2020/6/1,11:18,80,M7-13,35.164635,139.144702,11.1,Sargassum,0,Rock
M7,Mitomi,2020,2020/6/1,11:22,100,M7-14,35.164514,139.14454,10.9,Sargassum,0,Rock
M7,Mitomi,2020,2020/6/1,11:26,120,M7-15,35.164394,139.144377,10.6,Sargassum,0,Rock
M7,Mitomi,2020,2020/6/1,11:30,140,M7-16,35.164273,139.144215,10.5,Sargassum,0,Rock
M7,Mitomi,2020,2020/6/1,11:35,160,M7-17,35.164153,139.144052,9.5,Sargassum,0,Rock
M7,Mitomi,2020,2020/6/1,11:38,180,M7-18,35.164033,139.14389,9.8,Sargassum,0,Sand
M7,Mitomi,2020,2020/6/1,11:42,200,M7-19,35.163912,139.143727,9.2,Sargassum,0,Rock
M4,Mitomi,2019,2019/7/25,14:54,0,M4-09,35.165659,139.144784,5.8,Small algae,2,Boulder
M4,Mitomi,2019,2019/7/25,14:58,20,M4-10,35.165538,139.144622,6,Small algae,2,Boulder
M4,Mitomi,2019,2019/7/25,15:02,40,M4-11,35.165418,139.144459,6,Small algae,0,Boulder
M4,Mitomi,2019,2019/7/25,15:06,60,M4-12,35.165297,139.144297,5.5,Small algae,2,Rock
M4,Mitomi,2019,2019/7/25,15:09,80,M4-13,35.165177,139.144134,5.5,Small algae,0,Boulder
M4,Mitomi,2019,2019/7/25,15:12,100,M4-14,35.165056,139.143972,5.2,Small algae,0,Boulder
M4,Mitomi,2019,2019/7/25,15:15,120,M4-15,35.164936,139.143809,6,Small algae,2,Boulder
M4,Mitomi,2019,2019/7/25,15:18,140,M4-16,35.164816,139.143646,6.3,Small algae,2,Boulder
M4,Mitomi,2019,2019/7/25,15:20,160,M4-17,35.164695,139.143484,7,Small algae,2,Boulder
M4,Mitomi,2019,2019/7/25,15:23,180,M4-18,35.164575,139.143322,6.5,Small algae,0,Boulder
M4,Mitomi,2019,2019/7/25,15:26,200,M4-19,35.164454,139.143159,5.5,Small algae,2,Bedrock
M7,Sato,2019,2019/7/25,13:26,0,M7-11,35.164876,139.145027,12.5,Small algae,5,Rock
M7,Sato,2019,2019/7/25,13:28,20,M7-11a,35.16477,139.144891,12.9,Small algae,0,Sand
M7,Sato,2019,2019/7/25,13:30,40,M7-11b,35.164674,139.144772,12.1,Small algae,0,Sand
M7,Sato,2019,2019/7/25,13:33,60,M7-11c,35.164577,139.144636,10.6,Small algae,1,Boulder
M7,Sato,2019,2019/7/25,13:36,80,M7-11d,35.164487,139.144508,11.1,Small algae,2,Rock
M7,Sato,2019,2019/7/25,13:38,100,M7-11e,35.164394,139.144377,10.9,Small algae,3,Rock
M7,Sato,2019,2019/7/25,13:41,120,M7-11f,35.164299,139.144246,10.6,Small algae,3,Rock
M7,Sato,2019,2019/7/25,13:43,140,M7-11g,35.164197,139.144124,10.5,Small algae,15,Sand
M7,Sato,2019,2019/7/25,13:46,160,M7-11ｈ,35.164104,139.143985,9.5,Small algae,1,Rock
M7,Sato,2019,2019/7/25,13:48,180,M7-11i,35.164008,139.14386,9.8,Small algae,11,Sand
M7,Sato,2019,2019/7/25,13:51,200,M7-19,35.163912,139.143727,9.2,Small algae,0,Sand
M4,Mitomi,2020,2020/6/1,13:11,0,M4-09,35.165659,139.144784,6.6,Small algae,22,Rock
M4,Mitomi,2020,2020/6/1,13:18,20,M4-10,35.165538,139.144622,6.8,Small algae,22,Rock
M4,Mitomi,2020,2020/6/1,13:24,40,M4-11,35.165418,139.144459,7.1,Small algae,21,Boulder
M4,Mitomi,2020,2020/6/1,13:30,60,M4-12,35.165297,139.144297,5.9,Small algae,2,Boulder
M4,Mitomi,2020,2020/6/1,13:34,80,M4-13,35.165177,139.144134,3.1,Small algae,0,Boulder
M4,Mitomi,2020,2020/6/1,13:39,100,M4-14,35.165056,139.143972,6.9,Small algae,12,Boulder
M4,Mitomi,2020,2020/6/1,13:43,120,M4-15,35.164936,139.143809,7.3,Small algae,22,Boulder
M4,Mitomi,2020,2020/6/1,13:47,140,M4-16,35.164816,139.143646,7.9,Small algae,22,Boulder
M4,Mitomi,2020,2020/6/1,13:51,160,M4-17,35.164695,139.143484,7.5,Small algae,12,Rock
M4,Mitomi,2020,2020/6/1,13:55,180,M4-18,35.164575,139.143322,6.7,Small algae,21,Rock
M4,Mitomi,2020,2020/6/1,14:00,200,M4-19,35.164454,139.143159,6.2,Small algae,12,Rock
M7,Mitomi,2020,2020/6/1,10:52,0,M7-09,35.165117,139.145352,12.5,Small algae,3,Bedrock
M7,Mitomi,2020,2020/6/1,11:02,20,M7-10,35.164996,139.14519,12.9,Small algae,2,Bedrock
M7,Mitomi,2020,2020/6/1,11:08,40,M7-11,35.164876,139.145027,12.1,Small algae,11,Rock
M7,Mitomi,2020,2020/6/1,11:13,60,M7-12,35.164755,139.144865,10.6,Small algae,11,Bedrock
M7,Mitomi,2020,2020/6/1,11:18,80,M7-13,35.164635,139.144702,11.1,Small algae,3,Rock
M7,Mitomi,2020,2020/6/1,11:22,100,M7-14,35.164514,139.14454,10.9,Small algae,2,Rock
M7,Mitomi,2020,2020/6/1,11:26,120,M7-15,35.164394,139.144377,10.6,Small algae,12,Rock
M7,Mitomi,2020,2020/6/1,11:30,140,M7-16,35.164273,139.144215,10.5,Small algae,3,Rock
M7,Mitomi,2020,2020/6/1,11:35,160,M7-17,35.164153,139.144052,9.5,Small algae,2,Rock
M7,Mitomi,2020,2020/6/1,11:38,180,M7-18,35.164033,139.14389,9.8,Small algae,0,Sand
M7,Mitomi,2020,2020/6/1,11:42,200,M7-19,35.163912,139.143727,9.2,Small algae,2,Rock
M4,Mitomi,2019,2019/7/25,14:54,0,M4-09,35.165659,139.144784,5.8,Geniculate CA,1,Boulder
M4,Mitomi,2019,2019/7/25,14:58,20,M4-10,35.165538,139.144622,6,Geniculate CA,1,Boulder
M4,Mitomi,2019,2019/7/25,15:02,40,M4-11,35.165418,139.144459,6,Geniculate CA,0,Boulder
M4,Mitomi,2019,2019/7/25,15:06,60,M4-12,35.165297,139.144297,5.5,Geniculate CA,1,Rock
M4,Mitomi,2019,2019/7/25,15:09,80,M4-13,35.165177,139.144134,5.5,Geniculate CA,0,Boulder
M4,Mitomi,2019,2019/7/25,15:12,100,M4-14,35.165056,139.143972,5.2,Geniculate CA,0,Boulder
M4,Mitomi,2019,2019/7/25,15:15,120,M4-15,35.164936,139.143809,6,Geniculate CA,20,Boulder
M4,Mitomi,2019,2019/7/25,15:18,140,M4-16,35.164816,139.143646,6.3,Geniculate CA,15,Boulder
M4,Mitomi,2019,2019/7/25,15:20,160,M4-17,35.164695,139.143484,7,Geniculate CA,1,Boulder
M4,Mitomi,2019,2019/7/25,15:23,180,M4-18,35.164575,139.143322,6.5,Geniculate CA,10,Boulder
M4,Mitomi,2019,2019/7/25,15:26,200,M4-19,35.164454,139.143159,5.5,Geniculate CA,15,Bedrock
M7,Sato,2019,2019/7/25,13:26,0,M7-11,35.164876,139.145027,12.5,Geniculate CA,15,Rock
M7,Sato,2019,2019/7/25,13:28,20,M7-11a,35.16477,139.144891,12.9,Geniculate CA,1,Sand
M7,Sato,2019,2019/7/25,13:30,40,M7-11b,35.164674,139.144772,12.1,Geniculate CA,0,Sand
M7,Sato,2019,2019/7/25,13:33,60,M7-11c,35.164577,139.144636,10.6,Geniculate CA,30,Boulder
M7,Sato,2019,2019/7/25,13:36,80,M7-11d,35.164487,139.144508,11.1,Geniculate CA,10,Rock
M7,Sato,2019,2019/7/25,13:38,100,M7-11e,35.164394,139.144377,10.9,Geniculate CA,20,Rock
M7,Sato,2019,2019/7/25,13:41,120,M7-11f,35.164299,139.144246,10.6,Geniculate CA,30,Rock
M7,Sato,2019,2019/7/25,13:43,140,M7-11g,35.164197,139.144124,10.5,Geniculate CA,10,Sand
M7,Sato,2019,2019/7/25,13:46,160,M7-11ｈ,35.164104,139.143985,9.5,Geniculate CA,30,Rock
M7,Sato,2019,2019/7/25,13:48,180,M7-11i,35.164008,139.14386,9.8,Geniculate CA,15,Sand
M7,Sato,2019,2019/7/25,13:51,200,M7-19,35.163912,139.143727,9.2,Geniculate CA,5,Sand
M4,Mitomi,2020,2020/6/1,13:11,0,M4-09,35.165659,139.144784,6.6,Geniculate CA,10,Rock
M4,Mitomi,2020,2020/6/1,13:18,20,M4-10,35.165538,139.144622,6.8,Geniculate CA,1,Rock
M4,Mitomi,2020,2020/6/1,13:24,40,M4-11,35.165418,139.144459,7.1,Geniculate CA,20,Boulder
M4,Mitomi,2020,2020/6/1,13:30,60,M4-12,35.165297,139.144297,5.9,Geniculate CA,90,Boulder
M4,Mitomi,2020,2020/6/1,13:34,80,M4-13,35.165177,139.144134,3.1,Geniculate CA,80,Boulder
M4,Mitomi,2020,2020/6/1,13:39,100,M4-14,35.165056,139.143972,6.9,Geniculate CA,30,Boulder
M4,Mitomi,2020,2020/6/1,13:43,120,M4-15,35.164936,139.143809,7.3,Geniculate CA,30,Boulder
M4,Mitomi,2020,2020/6/1,13:47,140,M4-16,35.164816,139.143646,7.9,Geniculate CA,20,Boulder
M4,Mitomi,2020,2020/6/1,13:51,160,M4-17,35.164695,139.143484,7.5,Geniculate CA,15,Rock
M4,Mitomi,2020,2020/6/1,13:55,180,M4-18,35.164575,139.143322,6.7,Geniculate CA,40,Rock
M4,Mitomi,2020,2020/6/1,14:00,200,M4-19,35.164454,139.143159,6.2,Geniculate CA,50,Rock
M7,Mitomi,2020,2020/6/1,10:52,0,M7-09,35.165117,139.145352,12.5,Geniculate CA,1,Bedrock
M7,Mitomi,2020,2020/6/1,11:02,20,M7-10,35.164996,139.14519,12.9,Geniculate CA,20,Bedrock
M7,Mitomi,2020,2020/6/1,11:08,40,M7-11,35.164876,139.145027,12.1,Geniculate CA,20,Rock
M7,Mitomi,2020,2020/6/1,11:13,60,M7-12,35.164755,139.144865,10.6,Geniculate CA,30,Bedrock
M7,Mitomi,2020,2020/6/1,11:18,80,M7-13,35.164635,139.144702,11.1,Geniculate CA,25,Rock
M7,Mitomi,2020,2020/6/1,11:22,100,M7-14,35.164514,139.14454,10.9,Geniculate CA,30,Rock
M7,Mitomi,2020,2020/6/1,11:26,120,M7-15,35.164394,139.144377,10.6,Geniculate CA,50,Rock
M7,Mitomi,2020,2020/6/1,11:30,140,M7-16,35.164273,139.144215,10.5,Geniculate CA,50,Rock
M7,Mitomi,2020,2020/6/1,11:35,160,M7-17,35.164153,139.144052,9.5,Geniculate CA,10,Rock
M7,Mitomi,2020,2020/6/1,11:38,180,M7-18,35.164033,139.14389,9.8,Geniculate CA,0,Sand
M7,Mitomi,2020,2020/6/1,11:42,200,M7-19,35.163912,139.143727,9.2,Geniculate CA,1,Rock
M4,Mitomi,2019,2019/7/25,14:54,0,M4-09,35.165659,139.144784,5.8,Nongeniculate CA,10,Boulder
M4,Mitomi,2019,2019/7/25,14:58,20,M4-10,35.165538,139.144622,6,Nongeniculate CA,10,Boulder
M4,Mitomi,2019,2019/7/25,15:02,40,M4-11,35.165418,139.144459,6,Nongeniculate CA,0,Boulder
M4,Mitomi,2019,2019/7/25,15:06,60,M4-12,35.165297,139.144297,5.5,Nongeniculate CA,1,Rock
M4,Mitomi,2019,2019/7/25,15:09,80,M4-13,35.165177,139.144134,5.5,Nongeniculate CA,0,Boulder
M4,Mitomi,2019,2019/7/25,15:12,100,M4-14,35.165056,139.143972,5.2,Nongeniculate CA,0,Boulder
M4,Mitomi,2019,2019/7/25,15:15,120,M4-15,35.164936,139.143809,6,Nongeniculate CA,1,Boulder
M4,Mitomi,2019,2019/7/25,15:18,140,M4-16,35.164816,139.143646,6.3,Nongeniculate CA,1,Boulder
M4,Mitomi,2019,2019/7/25,15:20,160,M4-17,35.164695,139.143484,7,Nongeniculate CA,1,Boulder
M4,Mitomi,2019,2019/7/25,15:23,180,M4-18,35.164575,139.143322,6.5,Nongeniculate CA,0,Boulder
M4,Mitomi,2019,2019/7/25,15:26,200,M4-19,35.164454,139.143159,5.5,Nongeniculate CA,1,Bedrock
M7,Sato,2019,2019/7/25,13:26,0,M7-11,35.164876,139.145027,12.5,Nongeniculate CA,1,Rock
M7,Sato,2019,2019/7/25,13:28,20,M7-11a,35.16477,139.144891,12.9,Nongeniculate CA,3,Sand
M7,Sato,2019,2019/7/25,13:30,40,M7-11b,35.164674,139.144772,12.1,Nongeniculate CA,0,Sand
M7,Sato,2019,2019/7/25,13:33,60,M7-11c,35.164577,139.144636,10.6,Nongeniculate CA,5,Boulder
M7,Sato,2019,2019/7/25,13:36,80,M7-11d,35.164487,139.144508,11.1,Nongeniculate CA,1,Rock
M7,Sato,2019,2019/7/25,13:38,100,M7-11e,35.164394,139.144377,10.9,Nongeniculate CA,5,Rock
M7,Sato,2019,2019/7/25,13:41,120,M7-11f,35.164299,139.144246,10.6,Nongeniculate CA,0,Rock
M7,Sato,2019,2019/7/25,13:43,140,M7-11g,35.164197,139.144124,10.5,Nongeniculate CA,0,Sand
M7,Sato,2019,2019/7/25,13:46,160,M7-11ｈ,35.164104,139.143985,9.5,Nongeniculate CA,0,Rock
M7,Sato,2019,2019/7/25,13:48,180,M7-11i,35.164008,139.14386,9.8,Nongeniculate CA,10,Sand
M7,Sato,2019,2019/7/25,13:51,200,M7-19,35.163912,139.143727,9.2,Nongeniculate CA,0,Sand
M4,Mitomi,2020,2020/6/1,13:11,0,M4-09,35.165659,139.144784,6.6,Nongeniculate CA,20,Rock
M4,Mitomi,2020,2020/6/1,13:18,20,M4-10,35.165538,139.144622,6.8,Nongeniculate CA,10,Rock
M4,Mitomi,2020,2020/6/1,13:24,40,M4-11,35.165418,139.144459,7.1,Nongeniculate CA,20,Boulder
M4,Mitomi,2020,2020/6/1,13:30,60,M4-12,35.165297,139.144297,5.9,Nongeniculate CA,1,Boulder
M4,Mitomi,2020,2020/6/1,13:34,80,M4-13,35.165177,139.144134,3.1,Nongeniculate CA,1,Boulder
M4,Mitomi,2020,2020/6/1,13:39,100,M4-14,35.165056,139.143972,6.9,Nongeniculate CA,30,Boulder
M4,Mitomi,2020,2020/6/1,13:43,120,M4-15,35.164936,139.143809,7.3,Nongeniculate CA,30,Boulder
M4,Mitomi,2020,2020/6/1,13:47,140,M4-16,35.164816,139.143646,7.9,Nongeniculate CA,20,Boulder
M4,Mitomi,2020,2020/6/1,13:51,160,M4-17,35.164695,139.143484,7.5,Nongeniculate CA,1,Rock
M4,Mitomi,2020,2020/6/1,13:55,180,M4-18,35.164575,139.143322,6.7,Nongeniculate CA,10,Rock
M4,Mitomi,2020,2020/6/1,14:00,200,M4-19,35.164454,139.143159,6.2,Nongeniculate CA,10,Rock
M7,Mitomi,2020,2020/6/1,10:52,0,M7-09,35.165117,139.145352,12.5,Nongeniculate CA,10,Bedrock
M7,Mitomi,2020,2020/6/1,11:02,20,M7-10,35.164996,139.14519,12.9,Nongeniculate CA,10,Bedrock
M7,Mitomi,2020,2020/6/1,11:08,40,M7-11,35.164876,139.145027,12.1,Nongeniculate CA,10,Rock
M7,Mitomi,2020,2020/6/1,11:13,60,M7-12,35.164755,139.144865,10.6,Nongeniculate CA,20,Bedrock
M7,Mitomi,2020,2020/6/1,11:18,80,M7-13,35.164635,139.144702,11.1,Nongeniculate CA,10,Rock
M7,Mitomi,2020,2020/6/1,11:22,100,M7-14,35.164514,139.14454,10.9,Nongeniculate CA,10,Rock
M7,Mitomi,2020,2020/6/1,11:26,120,M7-15,35.164394,139.144377,10.6,Nongeniculate CA,10,Rock
M7,Mitomi,2020,2020/6/1,11:30,140,M7-16,35.164273,139.144215,10.5,Nongeniculate CA,1,Rock
M7,Mitomi,2020,2020/6/1,11:35,160,M7-17,35.164153,139.144052,9.5,Nongeniculate CA,1,Rock
M7,Mitomi,2020,2020/6/1,11:38,180,M7-18,35.164033,139.14389,9.8,Nongeniculate CA,0,Sand
M7,Mitomi,2020,2020/6/1,11:42,200,M7-19,35.163912,139.143727,9.2,Nongeniculate CA,1,Rock
